episode,is_optimal,expected,unexpected
1,1,0.693247,0.000000
2,0,0.698260,0.000000
3,0,0.703302,0.000000
4,1,0.708370,0.000000
5,0,0.713436,0.000000
6,0,0.718527,0.000000
7,0,0.723637,0.000000
8,1,0.728755,0.000000
9,0,0.733898,0.000000
10,1,0.739027,0.000000
11,1,0.744196,0.000000
12,1,0.749400,0.000000
13,0,0.754634,0.000000
14,1,0.759823,0.000000
15,0,0.765042,0.000000
16,1,0.770218,0.000000
17,1,0.775420,0.000000
18,0,0.780640,0.000000
19,0,0.785818,0.000013
20,0,0.790958,0.000044
21,1,0.796060,0.000045
22,1,0.801181,0.000036
23,0,0.806317,0.000045
24,0,0.811398,0.000075
25,1,0.816424,0.000072
26,0,0.821468,0.000095
27,1,0.826444,0.000083
28,0,0.831439,0.000102
29,0,0.836354,0.000143
30,0,0.841186,0.000200
31,1,0.845928,0.000191
32,1,0.850720,0.000153
33,1,0.855556,0.000122
34,1,0.860427,0.000098
35,0,0.865320,0.000078
36,1,0.870066,0.000063
37,1,0.874823,0.000050
38,1,0.879575,0.000040
39,0,0.884301,0.000032
40,1,0.888899,0.000026
41,1,0.893444,0.000021
42,0,0.897918,0.000016
43,1,0.902302,0.000013
44,1,0.906581,0.000023
45,0,0.910738,0.000019
46,0,0.914857,0.000015
47,1,0.918945,0.000029
48,0,0.922855,0.000023
49,1,0.926756,0.000050
50,1,0.930457,0.000109
51,0,0.933956,0.000106
52,1,0.937488,0.000152
53,1,0.940786,0.000232
54,1,0.943845,0.000336
55,0,0.946657,0.000328
56,1,0.949604,0.000383
57,0,0.952253,0.000327
58,1,0.955076,0.000360
59,0,0.957556,0.000288
60,1,0.960245,0.000314
61,1,0.962555,0.000410
62,0,0.964496,0.000355
63,1,0.966726,0.000406
64,1,0.968543,0.000528
65,1,0.969958,0.000696
66,1,0.970979,0.000893
67,0,0.971607,0.000843
68,0,0.972758,0.000674
69,0,0.974400,0.000539
70,0,0.976491,0.000432
71,1,0.978983,0.000345
72,1,0.980847,0.000312
73,1,0.982129,0.000416
74,1,0.982871,0.000608
75,1,0.983102,0.000852
76,1,0.982850,0.001127
77,1,0.982136,0.001415
78,1,0.980977,0.001706
79,1,0.979389,0.001995
80,1,0.977385,0.002278
81,1,0.974977,0.002552
82,1,0.972175,0.002819
83,1,0.968993,0.003078
84,0,0.965441,0.002800
85,0,0.963394,0.002240
86,1,0.962716,0.001950
87,1,0.961356,0.001911
88,1,0.959369,0.002043
89,1,0.956805,0.002288
90,1,0.953710,0.002602
91,1,0.950126,0.002955
92,1,0.946092,0.003326
93,1,0.941646,0.003698
94,1,0.936820,0.004063
95,0,0.931647,0.003619
96,1,0.928694,0.003468
97,1,0.925191,0.003520
98,1,0.921190,0.003708
99,1,0.916741,0.003981
100,1,0.911889,0.004303
101,0,0.906673,0.003699
102,1,0.903900,0.003473
103,1,0.900554,0.003508
104,1,0.896694,0.003716
105,1,0.892375,0.004033
106,1,0.887645,0.004410
107,1,0.882550,0.004816
108,1,0.877131,0.005226
109,1,0.871426,0.005625
110,1,0.865468,0.006003
111,0,0.859288,0.005138
112,1,0.855975,0.004721
113,1,0.852184,0.004616
114,1,0.847967,0.004723
115,1,0.843373,0.004965
116,1,0.838444,0.005288
117,1,0.833221,0.005652
118,1,0.827739,0.006030
119,1,0.822032,0.006401
120,1,0.816129,0.006754
121,1,0.810057,0.007081
122,1,0.803840,0.007378
123,1,0.797501,0.007642
124,1,0.791060,0.007874
125,1,0.784533,0.008074
126,1,0.777939,0.008245
127,1,0.771292,0.008389
128,1,0.764605,0.008509
129,1,0.757890,0.008606
130,1,0.751158,0.008684
131,1,0.744420,0.008744
132,1,0.737683,0.008789
133,1,0.730957,0.008822
134,1,0.724248,0.008843
135,1,0.717563,0.008854
136,0,0.710907,0.007083
137,1,0.707631,0.005861
138,1,0.704062,0.005196
139,1,0.700234,0.004926
140,1,0.696177,0.004925
141,1,0.691922,0.005103
142,1,0.687494,0.005390
143,1,0.682916,0.005738
144,1,0.678210,0.006111
145,1,0.673396,0.006483
146,1,0.668490,0.006840
147,1,0.663508,0.007169
148,1,0.658465,0.007464
149,0,0.653374,0.005972
150,1,0.651292,0.004777
151,1,0.648887,0.004141
152,1,0.646195,0.003947
153,1,0.643247,0.004052
154,1,0.640074,0.004348
155,1,0.636703,0.004757
156,1,0.633158,0.005221
157,1,0.629462,0.005700
158,1,0.625634,0.006168
159,1,0.621694,0.006606
160,0,0.617657,0.005285
161,1,0.616323,0.004228
162,1,0.614653,0.003559
163,1,0.612682,0.003381
164,1,0.610443,0.003529
165,1,0.607966,0.003885
166,1,0.605278,0.004360
167,1,0.602402,0.004892
168,1,0.599364,0.005436
169,1,0.596181,0.005962
170,1,0.592874,0.006452
171,1,0.589458,0.006892
172,1,0.585949,0.007277
173,1,0.582361,0.007605
174,1,0.578706,0.007877
175,1,0.574996,0.008094
176,1,0.571240,0.008262
177,1,0.567449,0.008385
178,0,0.563629,0.006708
179,1,0.562360,0.005366
180,1,0.560827,0.004293
181,1,0.559057,0.003714
182,0,0.557076,0.002971
183,1,0.557241,0.002377
184,1,0.557021,0.001901
185,1,0.556452,0.001521
186,1,0.555571,0.001430
187,1,0.554409,0.001733
188,1,0.552995,0.002281
189,1,0.551357,0.002964
190,1,0.549518,0.003705
191,1,0.547500,0.004449
192,1,0.545325,0.005160
193,1,0.543010,0.005814
194,1,0.540572,0.006398
195,1,0.538027,0.006906
196,1,0.535387,0.007335
197,1,0.532667,0.007688
198,1,0.529876,0.007969
199,1,0.527025,0.008184
200,1,0.524124,0.008338
201,1,0.521181,0.008439
202,1,0.518202,0.008493
203,1,0.515196,0.008507
204,1,0.512168,0.008486
205,1,0.509124,0.008436
206,1,0.506068,0.008362
207,0,0.503005,0.006690
208,1,0.502153,0.005352
209,1,0.501083,0.004282
210,0,0.499819,0.003425
211,1,0.500411,0.002740
212,1,0.500656,0.002192
213,1,0.500588,0.001754
214,1,0.500237,0.001403
215,1,0.499632,0.001249
216,1,0.498798,0.001505
217,1,0.497760,0.002016
218,0,0.496537,0.001613
219,1,0.497103,0.001290
220,1,0.497337,0.001032
221,1,0.497272,0.000826
222,1,0.496936,0.000999
223,1,0.496357,0.001515
224,1,0.495559,0.002229
225,1,0.494564,0.003038
226,1,0.493394,0.003871
227,1,0.492067,0.004678
228,1,0.490600,0.005427
229,1,0.489008,0.006100
230,1,0.487306,0.006685
231,1,0.485507,0.007181
232,1,0.483622,0.007587
233,1,0.481661,0.007908
234,0,0.479635,0.006327
235,0,0.479451,0.005061
236,1,0.480802,0.004049
237,0,0.481776,0.003239
238,1,0.484092,0.002591
239,1,0.485946,0.002073
240,1,0.487378,0.001659
241,1,0.488426,0.001327
242,1,0.489127,0.001061
243,1,0.489511,0.001236
244,1,0.489611,0.001832
245,1,0.489453,0.002673
246,1,0.489062,0.003632
247,1,0.488462,0.004617
248,1,0.487675,0.005569
249,1,0.486719,0.006449
250,1,0.485612,0.007233
251,1,0.484370,0.007910
252,1,0.483007,0.008475
253,1,0.481538,0.008930
254,1,0.479974,0.009282
255,1,0.478326,0.009538
256,1,0.476603,0.009707
257,1,0.474815,0.009800
258,1,0.472971,0.009825
259,1,0.471076,0.009793
260,1,0.469138,0.009714
261,1,0.467164,0.009594
262,1,0.465157,0.009442
263,1,0.463124,0.009264
264,1,0.461069,0.009067
265,1,0.458995,0.008855
266,0,0.456907,0.007084
267,1,0.456529,0.005667
268,1,0.455971,0.004534
269,1,0.455252,0.003627
270,1,0.454388,0.002902
271,1,0.453394,0.002626
272,1,0.452285,0.002652
273,1,0.451072,0.002873
274,1,0.449768,0.003209
275,1,0.448382,0.003603
276,1,0.446924,0.004014
277,1,0.445403,0.004414
278,0,0.443826,0.003531
279,1,0.443844,0.002825
280,1,0.443659,0.002260
281,0,0.443289,0.001808
282,1,0.444323,0.001446
283,1,0.445058,0.001157
284,1,0.445523,0.000926
285,1,0.445743,0.000741
286,1,0.445742,0.000592
287,1,0.445542,0.000841
288,1,0.445162,0.001390
289,1,0.444620,0.002107
290,1,0.443933,0.002899
291,1,0.443115,0.003701
292,1,0.442182,0.004468
293,0,0.441144,0.003574
294,1,0.441567,0.002859
295,1,0.441756,0.002288
296,1,0.441734,0.001830
297,1,0.441521,0.001791
298,1,0.441136,0.002104
299,1,0.440597,0.002629
300,1,0.439920,0.003264
301,1,0.439118,0.003938
302,1,0.438205,0.004602
303,1,0.437192,0.005224
304,1,0.436091,0.005783
305,1,0.434912,0.006269
306,1,0.433662,0.006678
307,0,0.432351,0.005342
308,1,0.432503,0.004274
309,1,0.432457,0.003419
310,1,0.432233,0.002735
311,1,0.431848,0.002362
312,1,0.431319,0.002387
313,1,0.430661,0.002666
314,1,0.429886,0.003095
315,1,0.429008,0.003599
316,1,0.428037,0.004124
317,1,0.426983,0.004635
318,1,0.425855,0.005108
319,1,0.424662,0.005529
320,1,0.423411,0.005891
321,1,0.422110,0.006191
322,1,0.420763,0.006430
323,1,0.419378,0.006610
324,0,0.417958,0.005288
325,1,0.417979,0.004231
326,1,0.417828,0.003384
327,1,0.417523,0.002708
328,1,0.417078,0.002166
329,1,0.416509,0.001956
330,1,0.415828,0.002058
331,1,0.415046,0.002357
332,1,0.414174,0.002768
333,1,0.413223,0.003230
334,1,0.412201,0.003702
335,1,0.411115,0.004155
336,1,0.409973,0.004571
337,1,0.408782,0.004939
338,1,0.407547,0.005254
339,1,0.406273,0.005515
340,1,0.404967,0.005721
341,1,0.403631,0.005877
